symbol,organ_name,com_type_code,icb_level,icb_code,icb_name
APS,Công ty Cổ phần Chứng khoán Châu Á - Thái Bình Dương,CK,4,8777,Môi giới chứng khoán
APT,Công ty Cổ phần Kinh doanh thủy hải sản Sài Gòn,CT,1,3000,Hàng Tiêu dùng
APT,Công ty Cổ phần Kinh doanh thủy hải sản Sài Gòn,CT,2,3500,Thực phẩm và đồ uống
APT,Công ty Cổ phần Kinh doanh thủy hải sản Sài Gòn,CT,3,3570,Sản xuất thực phẩm
APT,Công ty Cổ phần Kinh doanh thủy hải sản Sài Gòn,CT,4,3573,Nuôi trồng nông & hải sản
ARM,Công ty Cổ phần Xuất nhập khẩu Hàng không,CT,1,2000,Công nghiệp
ARM,Công ty Cổ phần Xuất nhập khẩu Hàng không,CT,2,2700,Hàng & Dịch vụ Công nghiệp
ARM,Công ty Cổ phần Xuất nhập khẩu Hàng không,CT,3,2790,Tư vấn & Hỗ trợ Kinh doanh
ARM,Công ty Cổ phần Xuất nhập khẩu Hàng không,CT,4,2797,Nhà cung cấp thiết bị
ART,Công ty Cổ phần Chứng khoán ARTEX,CK,1,8000,Tài chính
ART,Công ty Cổ phần Chứng khoán ARTEX,CK,2,8700,Dịch vụ tài chính
ART,Công ty Cổ phần Chứng khoán ARTEX,CK,3,8770,Dịch vụ tài chính
ART,Công ty Cổ phần Chứng khoán ARTEX,CK,4,8777,Môi giới chứng khoán
ASA,Công ty Cổ phần ASA,CT,1,3000,Hàng Tiêu dùng
ASA,Công ty Cổ phần ASA,CT,2,3700,Hàng cá nhân & Gia dụng
ASA,Công ty Cổ phần ASA,CT,3,3760,Hàng cá nhân
ASA,Công ty Cổ phần ASA,CT,4,3767,Hàng cá nhân
ASG,Công ty Cổ phần Tập đoàn ASG,CT,1,2000,Công nghiệp
ASG,Công ty Cổ phần Tập đoàn ASG,CT,2,2700,Hàng & Dịch vụ Công nghiệp
ASG,Công ty Cổ phần Tập đoàn ASG,CT,3,2770,Vận tải
ASG,Công ty Cổ phần Tập đoàn ASG,CT,4,2777,"Kho bãi, hậu cần và bảo dưỡng"
ASIAGF,Quỹ Đầu tư Tăng trưởng ACB,QU,1,8000,Tài chính
ASIAGF,Quỹ Đầu tư Tăng trưởng ACB,QU,2,8700,Dịch vụ tài chính
ASIAGF,Quỹ Đầu tư Tăng trưởng ACB,QU,3,8980,Quỹ đầu tư
ASIAGF,Quỹ Đầu tư Tăng trưởng ACB,QU,4,8985,Quỹ đầu tư
ASM,Công ty Cổ phần Tập đoàn Sao Mai,CT,1,3000,Hàng Tiêu dùng
ASM,Công ty Cổ phần Tập đoàn Sao Mai,CT,2,3500,Thực phẩm và đồ uống
ASM,Công ty Cổ phần Tập đoàn Sao Mai,CT,3,3570,Sản xuất thực phẩm
