time,usepuindxd,epu_log
2019-11-27,37.18,3.6157709822932977
2019-11-28,97.06,4.57532934397707
2019-11-29,122.19,4.805577210328431
2019-12-02,86.08,4.455277096413474
2019-12-03,69.28,4.23815626425418
2019-12-04,64.18,4.161691635681711
2019-12-05,36.86,3.607126952241677
2019-12-06,134.85,4.904163049585739
2019-12-09,130.15,4.868687631440574
2019-12-10,189.13,5.242434609300363
2019-12-11,111.83,4.716979861040097
2019-12-12,99.79,4.603067977896221
2019-12-13,164.4,5.10230248262208
2019-12-16,79.66,4.377767577753498
2019-12-17,140.79,4.947269418474436
2019-12-18,89.87,4.498364181670282
2019-12-19,70.52,4.25589635752967
2019-12-20,141.48,4.95215836433728
2019-12-23,110.91,4.70871906161665
2019-12-24,97.08,4.5755353808584
2019-12-25,43.46,3.771840974828284
2019-12-26,106.92,4.672080891270718
2019-12-27,127.92,4.851405068525699
2019-12-30,101.31,4.618185123065586
2019-12-31,105.75,4.661077817926388
2020-01-02,139.13,4.935408747853786
2020-01-03,108.1,4.683056724645162
2020-01-06,147.96,4.996941966964253
2020-01-07,103.98,4.6441985729555695
2020-01-08,91.15,4.512506501124672
2020-01-09,71.92,4.275554390163365
2020-01-10,74.58,4.311872374750675
2020-01-13,124.82,4.826872699505897
2020-01-14,109.27,4.693821883582654
2020-01-15,98.77,4.592793914920036
2020-01-16,88.05,4.477904834942216
2020-01-17,77.76,4.353627160152183
2020-01-20,96.05,4.564868889214566
2020-01-21,87.56,4.472324272654662
2020-01-22,77.19,4.346269914961763
2020-01-30,142.05,4.956179108300197
2020-01-31,122.2,4.805659046737495
2020-02-03,124.15,4.821490511954176
2020-02-04,111.96,4.718141664647253
2020-02-05,84.94,4.441945124885125
2020-02-06,81.75,4.403665809777363
2020-02-07,130.27,4.8696092197094725
2020-02-10,111.39,4.713037556857098
2020-02-11,152.71,5.028540697965091
2020-02-12,79.26,4.372733587762289
2020-02-13,82.23,4.409520198982804
2020-02-14,71.98,4.276388302650885
2020-02-17,82.54,4.413283024324436
2020-02-18,77.38,4.348728349272367
2020-02-19,56.47,4.033709523684745
2020-02-20,103.7,4.641502115235482
2020-02-21,106.59,4.668989698701045
2020-02-24,88.73,4.485598050847247
2020-02-25,147.84,4.996130607893374
2020-02-26,97.49,4.57974980864118
2020-02-27,106.55,4.668614358544626
2020-02-28,172.45,5.15010733938285
2020-03-02,153.53,5.033895987670808
2020-03-03,132.55,4.886959932735035
2020-03-04,197.2,5.284218442168535
2020-03-05,118.02,4.770854101629023
2020-03-06,132.5,4.886582645426277
2020-03-09,276.24,5.621270053081737
2020-03-10,296.12,5.6907647775748975
2020-03-11,234.73,5.458435917440796
2020-03-12,187.08,5.231536332857686
2020-03-13,330.85,5.801665100458068
2020-03-16,323.71,5.779848053257003
2020-03-17,378.92,5.937325101007334
2020-03-18,455.45,6.121285941190819
2020-03-19,514.67,6.243525918579576
2020-03-20,633.51,6.45127578495626
2020-03-23,572.94,6.350780999190167
2020-03-24,596.78,6.391548536263666
2020-03-25,449.86,6.108936423248153
2020-03-26,670.3,6.507725373363912
2020-03-27,557.18,6.322888347506968
2020-03-30,361.46,5.890151385407493
2020-03-31,516.55,6.247172089295455
2020-04-01,474.81,6.1629147240133015
2020-04-03,540.5,6.292494637079263
2020-04-06,605.38,6.405856360032667
2020-04-07,468.08,6.14863922147998
2020-04-08,524.13,6.261739745154463
2020-04-09,417.54,6.034380348084814
2020-04-10,461.87,6.135283466204087
2020-04-13,638.81,6.459607070570239
2020-04-14,441.32,6.0897702358921055
2020-04-15,455.68,6.121790808783556
2020-04-16,505.52,6.2255876024652
2020-04-17,573.7,6.352106611607826
2020-04-20,618.66,6.427555848757907
2020-04-21,599.13,6.395478602948832
2020-04-22,511.42,6.23719117042245
2020-04-23,505.54,6.225627164904625
2020-04-24,562.5,6.332391134078575
2020-04-27,642.66,6.465615813004593
2020-04-28,479.89,6.173556910972577
2020-04-29,439.11,6.084749951163965
2020-05-04,449.38,6.107868854978085
2020-05-05,807.66,6.694141177884057
2020-05-06,498.71,6.212024764486588
2020-05-07,504.24,6.223052345204855
2020-05-08,488.53,6.191400882084373
2020-05-11,527.36,6.267883427281053
2020-05-12,442.15,6.091649191021744
2020-05-13,553.21,6.315737676272198
2020-05-14,508.02,6.230520816882241
2020-05-15,374.22,5.924843859766086
2020-05-18,511.62,6.237582161982013
2020-05-19,363.66,5.896219365191249
2020-05-20,420.68,6.041872449651828
2020-05-21,361.11,5.889182621059753
2020-05-22,418.96,6.037775449971233
2020-05-25,462.96,6.137640657265584
2020-05-26,389.21,5.964119043712501
2020-05-27,355.1,5.872399439949042
2020-05-28,421.99,6.044981617072777
2020-05-29,426.28,6.055096407352756
2020-06-01,226.8,5.4240685718535975
2020-06-02,257.49,5.550980884398238
2020-06-03,287.17,5.660074374893562
2020-06-04,231.24,5.443456132214275
2020-06-05,235.07,5.459883342129427
2020-06-08,318.64,5.764061938873389
2020-06-09,191.32,5.253947418812096
2020-06-10,237.88,5.471766344838393
2020-06-11,317.86,5.7616110342686735
2020-06-12,293.12,5.680582081485765
