time,close,high,low,open,volume,fx_log_ret
2020-12-24,23130.0,23136.0,22774.94921875,23130.0,0.0,0.000129710098113
2020-12-25,23125.0,23152.0,22818.8203125,23125.0,0.0,-0.0002161928448589
2020-12-28,23130.0,23130.0,22808.009765625,23130.0,0.0,0.0002161928448589
2020-12-29,23125.0,23125.0,22748.501953125,23125.0,0.0,-0.0002161928448589
2020-12-30,23120.0,23125.0,22716.880859375,23120.0,0.0,-0.0002162395943122
2020-12-31,23088.0,23095.0,22700.642578125,22700.642578125,0.0,-0.0013850417726616
2021-01-04,23070.0,23095.0,22745.234375,23095.0,0.0,0.0
2021-01-05,23070.0,23098.0,22781.490234375,23070.0,0.0,0.0
2021-01-06,23080.0,23096.0,22751.939453125,23080.0,0.0,0.0004333694542365
2021-01-07,23090.0,23129.0,22758.46875,23090.0,0.0,0.0004331817265052
2021-01-08,23078.0,23078.0,22740.369140625,23078.0,0.0,-0.0005198405939279
2021-01-11,22788.548828125,23070.0,22741.92578125,23066.0,0.0,-0.0126216173595183
2021-01-12,23050.0,23070.0,22732.060546875,23050.0,0.0,0.0114076040296999
2021-01-13,23065.0,23070.0,22613.265625,23065.0,0.0,0.0006505475671263
2021-01-14,23064.0,23068.0,22730.01953125,23064.0,0.0,-4.335667368276198e-05
2021-01-15,23064.0,23067.0,22737.3359375,23064.0,0.0,0.0
2021-01-18,22818.826171875,23095.0,22741.251953125,23095.0,0.0,-0.0106870557933219
2021-01-19,23069.0,23070.0,22684.1796875,23069.0,0.0,0.0109038203661691
2021-01-20,23069.0,23075.0,22742.171875,23069.0,0.0,0.0
2021-01-21,23072.0,23075.0,22721.162109375,23072.0,0.0,0.0001300361935904
2021-01-22,23060.0,23076.0,22685.73046875,23060.0,0.0,-0.0005202462616256
2021-01-25,23070.0,23075.0,22743.61328125,23070.0,0.0,0.0004335573447494
2021-01-26,23060.0,23070.0,22730.154296875,23060.0,0.0,-0.0004335573447493
2021-01-27,23069.0,23070.0,22696.41796875,23069.0,0.0,0.0003902100680351
2021-01-28,23069.0,23069.0,22768.345703125,23069.0,0.0,0.0
2021-01-29,23059.0,23070.0,22691.408203125,23059.0,0.0,-0.0004335761427617
2021-02-01,22699.072265625,23048.0,22708.65625,23048.0,0.0,-0.0157320944697312
2021-02-02,23045.0,23061.0,23010.0,23045.0,0.0,0.0151247718760162
2021-02-03,23027.0,23061.0,22703.462890625,23027.0,0.0,-0.0007813856969892
2021-02-04,23020.0,23025.0,22651.306640625,23020.0,0.0,-0.0003040371817456
2021-02-05,23015.0,23015.0,22677.07421875,23015.0,0.0,-0.0002172260245317
2021-02-08,23000.0,23000.0,22655.798828125,23000.0,0.0,-0.000651961340055
2021-02-09,22970.0,23010.0,22596.908203125,22970.0,0.0,-0.0013051992281427
2021-02-17,23010.0,23020.0,22682.916015625,22970.0,0.0,0.0
2021-02-18,23010.0,23015.0,22691.568359375,23010.0,0.0,0.0
2021-02-19,23015.0,23018.0,22655.244140625,23015.0,0.0,0.0002172732219302
2021-02-22,22727.703125,23022.0,22695.625,23018.0,0.0,-0.012561594884641
2021-02-23,23020.0,23025.0,22621.908203125,23020.0,0.0,0.0127788209091728
2021-02-24,23025.0,23025.0,22688.005859375,22691.8515625,0.0,0.0002171788476339
2021-02-25,23020.0,23025.0,22694.94921875,23020.0,0.0,-0.0002171788476339
2021-02-26,23025.0,23017.0,22679.6796875,23010.0,0.0,0.0002171788476339
2021-03-01,23015.0,23026.0,22699.494140625,23015.0,0.0,-0.0004344048721657
2021-03-02,23020.0,23030.0,22696.8515625,22722.890625,0.0,0.0002172260245318
2021-03-03,23022.0,23030.0,22694.5234375,23025.0,0.0,8.687719913381827e-05
2021-03-04,23020.0,23021.0,22680.56640625,23020.0,0.0,-8.687719913371229e-05
2021-03-05,23019.0,23035.0,22688.357421875,23019.0,0.0,-4.3441430098747056e-05
2021-03-08,23033.0,22707.5,22707.189453125,22707.189453125,0.0,0.0006080083571304
2021-03-09,22707.5,22753.34375,22726.470703125,22753.34375,0.0,-0.0142327038265367
2021-03-10,22726.470703125,23052.0,22712.40625,22760.697265625,0.0,0.0008350889844706
2021-03-11,23052.0,23053.0,22723.73828125,23052.0,0.0,0.0142221781957176
2021-03-12,23051.0,23056.0,22710.3828125,23051.0,0.0,-4.338112487940944e-05
2021-03-15,22651.580078125,23081.0,22692.87109375,23055.0,0.0,-0.0174795423300363
2021-03-16,23081.0,23082.0,22748.921875,23075.0,0.0,0.0187801581381089
2021-03-17,23082.0,23082.0,23045.0,23082.0,0.0,4.332474059999614e-05
2021-03-18,23045.0,23065.0,22724.228515625,23045.0,0.0,-0.0016042668257414
2021-03-19,23065.0,23075.0,22729.984375,23065.0,0.0,0.0008674908373121
2021-03-22,22761.62890625,23080.0,22743.1640625,23073.0,0.0,-0.0132401414966741
2021-03-23,23076.0,23076.0,22737.1015625,23076.0,0.0,0.0137169408815333
