date,capital,ticker,so_lo,so_co_phieu,gia_hien_tai,so_tien_chi,ty_trong_goc_ppo,ty_trong_thuc_te,used_capital,cash_left,tracking_error
15/07/2026,100000000,EIB,3,300,19450.0,5835000.0,0.0435,0.0583,99893000.0,107000.0,0.5909
15/07/2026,100000000,HAG,2,200,14600.0,2920000.0,0.021,0.0292,99893000.0,107000.0,0.5909
15/07/2026,100000000,HDC,3,300,14000.0,4200000.0,0.0419,0.042,99893000.0,107000.0,0.5909
15/07/2026,100000000,HDG,1,100,19000.0,1900000.0,0.0118,0.019,99893000.0,107000.0,0.5909
15/07/2026,100000000,IMP,3,300,39000.0,11700000.0,0.0929,0.117,99893000.0,107000.0,0.5909
15/07/2026,100000000,KDC,2,200,49800.0,9960000.0,0.0541,0.0996,99893000.0,107000.0,0.5909
15/07/2026,100000000,KDH,2,200,19500.0,3900000.0,0.0307,0.039,99893000.0,107000.0,0.5909
15/07/2026,100000000,MBB,1,100,23950.0,2395000.0,0.0157,0.0239,99893000.0,107000.0,0.5909
15/07/2026,100000000,NLG,1,100,24900.0,2490000.0,0.0237,0.0249,99893000.0,107000.0,0.5909
15/07/2026,100000000,NT2,1,100,21550.0,2155000.0,0.0124,0.0215,99893000.0,107000.0,0.5909
15/07/2026,100000000,PDR,4,400,13700.0,5480000.0,0.0437,0.0548,99893000.0,107000.0,0.5909
15/07/2026,100000000,SJS,1,100,48300.0,4830000.0,0.0325,0.0483,99893000.0,107000.0,0.5909
15/07/2026,100000000,TCH,5,500,13900.0,6950000.0,0.0648,0.0695,99893000.0,107000.0,0.5909
15/07/2026,100000000,VGC,2,200,39040.0,7808000.0,0.0518,0.0781,99893000.0,107000.0,0.5909
15/07/2026,100000000,VHC,2,200,56800.0,11360000.0,0.0577,0.1136,99893000.0,107000.0,0.5909
15/07/2026,100000000,VIX,2,200,13950.0,2790000.0,0.0159,0.0279,99893000.0,107000.0,0.5909
15/07/2026,100000000,VSC,1,100,15000.0,1500000.0,0.0089,0.015,99893000.0,107000.0,0.5909
16/07/2026,100000000,DBC,1,100,17750.0,1775000.0,0.0144,0.0177,99194000.0,806000.0,0.6133
16/07/2026,100000000,DGW,2,200,38000.0,7600000.0,0.0439,0.076,99194000.0,806000.0,0.6133
16/07/2026,100000000,DXG,2,200,12200.0,2440000.0,0.0204,0.0244,99194000.0,806000.0,0.6133
16/07/2026,100000000,EIB,3,300,19050.0,5715000.0,0.0431,0.0571,99194000.0,806000.0,0.6133
16/07/2026,100000000,HAG,2,200,14600.0,2920000.0,0.0204,0.0292,99194000.0,806000.0,0.6133
16/07/2026,100000000,HDC,4,400,13800.0,5520000.0,0.0423,0.0552,99194000.0,806000.0,0.6133
16/07/2026,100000000,HDG,1,100,18300.0,1830000.0,0.0119,0.0183,99194000.0,806000.0,0.6133
16/07/2026,100000000,IMP,3,300,40300.0,12090000.0,0.0936,0.1209,99194000.0,806000.0,0.6133
16/07/2026,100000000,KDC,2,200,49700.0,9940000.0,0.0538,0.0994,99194000.0,806000.0,0.6133
16/07/2026,100000000,KDH,2,200,19000.0,3800000.0,0.0301,0.038,99194000.0,806000.0,0.6133
16/07/2026,100000000,MBB,1,100,24150.0,2415000.0,0.0155,0.0242,99194000.0,806000.0,0.6133
16/07/2026,100000000,NLG,1,100,24800.0,2480000.0,0.0228,0.0248,99194000.0,806000.0,0.6133
16/07/2026,100000000,PDR,4,400,13600.0,5440000.0,0.0432,0.0544,99194000.0,806000.0,0.6133
16/07/2026,100000000,SJS,1,100,48000.0,4800000.0,0.0333,0.048,99194000.0,806000.0,0.6133
16/07/2026,100000000,TCH,5,500,13800.0,6900000.0,0.066,0.069,99194000.0,806000.0,0.6133
16/07/2026,100000000,VGC,2,200,39320.0,7864000.0,0.0513,0.0786,99194000.0,806000.0,0.6133
16/07/2026,100000000,VHC,2,200,56700.0,11340000.0,0.0579,0.1134,99194000.0,806000.0,0.6133
16/07/2026,100000000,VIX,2,200,14050.0,2810000.0,0.0161,0.0281,99194000.0,806000.0,0.6133
16/07/2026,100000000,VSC,1,100,15150.0,1515000.0,0.0094,0.0152,99194000.0,806000.0,0.6133
17/07/2026,100000000,DBC,1,100,17450.0,1745000.0,0.0142,0.0175,99985000.0,15000.0,0.6002
