date,user_tier,capital_tier,ticker,action,shares,price,total_cost,buy_factor_pct
10/04/2026,100M,100000000,DBC,BUY,100,20500.0,2050000.0,100
10/04/2026,100M,100000000,DGW,BUY,100,44570.0,4457000.0,100
10/04/2026,100M,100000000,NLG,BUY,100,28650.0,2865000.0,100
10/04/2026,100M,100000000,TCH,BUY,100,17000.0,1700000.0,100
10/04/2026,250M,250000000,EIB,SELL,100,23100.0,-2310000.0,100
10/04/2026,250M,250000000,TCH,BUY,100,17000.0,1700000.0,100
10/04/2026,250M,250000000,VND,BUY,100,16280.000000000002,1628000.0000000002,100
10/04/2026,500M,500000000,BSI,SELL,100,33610.0,-3361000.0,100
10/04/2026,500M,500000000,EIB,SELL,100,23100.0,-2310000.0,100
10/04/2026,500M,500000000,VHC,SELL,100,61200.0,-6120000.0,100
10/04/2026,500M,500000000,DGW,BUY,100,44570.0,4457000.0,100
10/04/2026,500M,500000000,SJS,BUY,100,53900.0,5390000.0,100
10/04/2026,500M,500000000,TCH,BUY,100,17000.0,1700000.0,100
13/04/2026,250M,250000000,KDH,SELL,100,26200.0,-2620000.0,100
13/04/2026,250M,250000000,VIC,SELL,100,160000.0,-16000000.0,100
13/04/2026,250M,250000000,DBC,BUY,100,20320.0,2032000.0,100
13/04/2026,250M,250000000,EIB,BUY,100,22950.0,2295000.0,100
13/04/2026,250M,250000000,HDG,BUY,100,25690.0,2569000.0,100
13/04/2026,250M,250000000,MBB,BUY,100,25430.0,2543000.0,100
13/04/2026,250M,250000000,NLG,BUY,100,28750.0,2875000.0,100
13/04/2026,250M,250000000,PDR,BUY,100,16500.0,1650000.0,100
13/04/2026,500M,500000000,GAS,SELL,100,80700.0,-8070000.0,100
13/04/2026,500M,500000000,HAG,SELL,100,16350.000000000002,-1635000.0000000002,100
13/04/2026,500M,500000000,KDH,SELL,100,26200.0,-2620000.0,100
13/04/2026,500M,500000000,MBB,SELL,100,25430.0,-2543000.0,100
13/04/2026,500M,500000000,BSI,BUY,100,33380.0,3338000.0,100
13/04/2026,500M,500000000,CII,BUY,100,19800.0,1980000.0,100
13/04/2026,500M,500000000,EIB,BUY,100,22950.0,2295000.0,100
13/04/2026,500M,500000000,HDC,BUY,100,16570.0,1657000.0,100
13/04/2026,500M,500000000,HDG,BUY,100,25690.0,2569000.0,100
13/04/2026,500M,500000000,NLG,BUY,100,28750.0,2875000.0,100
14/04/2026,100M,100000000,TCH,SELL,100,17300.0,-1730000.0,100
14/04/2026,100M,100000000,VIC,SELL,100,165500.0,-16550000.0,100
14/04/2026,100M,100000000,VND,SELL,100,16379.999999999998,-1637999.9999999998,100
14/04/2026,100M,100000000,BSI,BUY,100,33700.0,3370000.0,100
14/04/2026,100M,100000000,EIB,BUY,100,23000.0,2300000.0,100
14/04/2026,100M,100000000,MBB,BUY,100,25670.0,2567000.0,100
14/04/2026,100M,100000000,VCB,BUY,100,59300.0,5930000.0,100
14/04/2026,100M,100000000,VHC,BUY,100,61000.0,6100000.0,100
14/04/2026,250M,250000000,DBC,SELL,100,21330.0,-2133000.0,100
14/04/2026,250M,250000000,MBB,SELL,100,25670.0,-2567000.0,100
14/04/2026,250M,250000000,VND,SELL,100,16379.999999999998,-1637999.9999999998,100
14/04/2026,250M,250000000,DXG,BUY,200,13490.0,2698000.0,100
14/04/2026,250M,250000000,KDH,BUY,100,26200.0,2620000.0,100
14/04/2026,250M,250000000,VCB,BUY,100,59300.0,5930000.0,100
14/04/2026,500M,500000000,HDC,SELL,100,16440.0,-1644000.0,100
14/04/2026,500M,500000000,TCH,SELL,100,17300.0,-1730000.0,100
14/04/2026,500M,500000000,VIC,SELL,100,165500.0,-16550000.0,100
14/04/2026,500M,500000000,DXG,BUY,200,13490.0,2698000.0,100
14/04/2026,500M,500000000,GAS,BUY,100,79300.0,7930000.0,100
14/04/2026,500M,500000000,KDH,BUY,100,26200.0,2620000.0,100
14/04/2026,500M,500000000,PDR,BUY,100,16450.0,1645000.0,100
14/04/2026,500M,500000000,VHC,BUY,100,61000.0,6100000.0,100
15/04/2026,250M,250000000,DXG,SELL,100,13400.0,-1340000.0,100
15/04/2026,250M,250000000,VCB,SELL,100,59900.0,-5990000.0,100
15/04/2026,250M,250000000,DBC,BUY,100,20890.0,2089000.0,100
15/04/2026,250M,250000000,HDG,BUY,100,25830.0,2583000.0,100
15/04/2026,250M,250000000,MBB,BUY,100,25580.0,2558000.0,100
15/04/2026,500M,500000000,DXG,SELL,100,13400.0,-1340000.0,100
15/04/2026,500M,500000000,VCB,SELL,100,59900.0,-5990000.0,100
15/04/2026,500M,500000000,HDG,BUY,100,25830.0,2583000.0,100
15/04/2026,500M,500000000,MBB,BUY,100,25580.0,2558000.0,100
15/04/2026,500M,500000000,TCH,BUY,100,17000.0,1700000.0,100
16/04/2026,50M,50000000,DBC,SELL,100,20540.0,-2054000.0,100
16/04/2026,50M,50000000,EIB,BUY,100,22350.0,2235000.0,100
16/04/2026,100M,100000000,VHC,SELL,100,61700.0,-6170000.0,100
16/04/2026,100M,100000000,SJS,BUY,100,53100.0,5310000.0,100
16/04/2026,250M,250000000,KDH,SELL,100,26300.0,-2630000.0,100
16/04/2026,250M,250000000,VIC,SELL,100,189300.0,-18930000.0,100
16/04/2026,250M,250000000,HDG,SELL,100,25380.0,-2538000.0,100
16/04/2026,250M,250000000,BSI,BUY,100,33160.0,3316000.0,100
16/04/2026,250M,250000000,KDC,BUY,100,47900.0,4790000.0,100
16/04/2026,250M,250000000,SJS,BUY,100,53100.0,5310000.0,100
16/04/2026,250M,250000000,VCB,BUY,100,59400.0,5940000.0,100
16/04/2026,250M,250000000,VGC,BUY,100,46200.0,4620000.0,100
16/04/2026,500M,500000000,DBC,SELL,100,20540.0,-2054000.0,100
16/04/2026,500M,500000000,HDG,SELL,100,25380.0,-2538000.0,100
16/04/2026,500M,500000000,KDH,SELL,100,26300.0,-2630000.0,100
16/04/2026,500M,500000000,TCH,SELL,100,17550.0,-1755000.0,100
16/04/2026,500M,500000000,VHC,SELL,100,61700.0,-6170000.0,100
16/04/2026,500M,500000000,BSI,BUY,100,33160.0,3316000.0,100
16/04/2026,500M,500000000,VCB,BUY,100,59400.0,5940000.0,100
16/04/2026,500M,500000000,VGC,BUY,100,46200.0,4620000.0,100
16/04/2026,500M,500000000,VND,BUY,100,16079.999999999998,1607999.9999999998,100
17/04/2026,50M,50000000,EIB,SELL,100,22400.0,-2240000.0,100
17/04/2026,50M,50000000,MBB,BUY,100,25430.0,2543000.0,100
17/04/2026,100M,100000000,DBC,SELL,100,20540.0,-2054000.0,100
17/04/2026,100M,100000000,DXG,BUY,100,13090.0,1309000.0,100
17/04/2026,100M,100000000,TCH,BUY,100,17100.0,1710000.0,100
17/04/2026,250M,250000000,BSI,SELL,100,33290.0,-3329000.0,100
17/04/2026,250M,250000000,KDH,BUY,100,26050.0,2605000.0,100
17/04/2026,500M,500000000,BSI,SELL,100,33290.0,-3329000.0,100
17/04/2026,500M,500000000,VGC,SELL,100,46000.0,-4600000.0,100
17/04/2026,500M,500000000,VND,SELL,100,16079.999999999998,-1607999.9999999998,100
17/04/2026,500M,500000000,DXG,BUY,100,13090.0,1309000.0,100
17/04/2026,500M,500000000,HDC,BUY,100,16140.0,1614000.0,100
17/04/2026,500M,500000000,KDC,BUY,100,48000.0,4800000.0,100
17/04/2026,500M,500000000,TCH,BUY,100,17100.0,1710000.0,100
20/04/2026,500M,500000000,DXG,SELL,100,13180.0,-1318000.0,100
20/04/2026,500M,500000000,VCB,SELL,100,60100.0,-6010000.0,100
20/04/2026,500M,500000000,KDH,BUY,100,26000.0,2600000.0,100
20/04/2026,500M,500000000,VGC,BUY,100,46250.0,4625000.0,100
21/04/2026,100M,100000000,DXG,SELL,100,12920.0,-1292000.0,100
21/04/2026,100M,100000000,EIB,SELL,100,22950.0,-2295000.0,100
21/04/2026,100M,100000000,DBC,BUY,100,20360.0,2036000.0,100
21/04/2026,100M,100000000,VND,BUY,100,16180.0,1618000.0,100
21/04/2026,250M,250000000,EIB,SELL,100,22950.0,-2295000.0,100
21/04/2026,250M,250000000,BSI,BUY,100,32840.0,3284000.0,100
21/04/2026,500M,500000000,EIB,SELL,100,22950.0,-2295000.0,100
21/04/2026,500M,500000000,KDH,SELL,100,25700.0,-2570000.0,100
21/04/2026,500M,500000000,DBC,BUY,100,20360.0,2036000.0,100
21/04/2026,500M,500000000,NT2,BUY,100,25850.0,2585000.0,100
22/04/2026,250M,250000000,DXG,SELL,100,12920.0,-1292000.0,100
22/04/2026,250M,250000000,KDH,SELL,100,25700.0,-2570000.0,100
22/04/2026,250M,250000000,SJS,SELL,100,58700.0,-5870000.0,100
22/04/2026,250M,250000000,EIB,BUY,100,22650.0,2265000.0,100
22/04/2026,250M,250000000,HDG,BUY,100,25190.0,2519000.0,100
22/04/2026,250M,250000000,NT2,BUY,100,25350.0,2535000.0,100
22/04/2026,250M,250000000,VCG,BUY,100,19240.0,1924000.0,100
22/04/2026,500M,500000000,DXG,SELL,100,12920.0,-1292000.0,100
22/04/2026,500M,500000000,NT2,SELL,100,25350.0,-2535000.0,100
22/04/2026,500M,500000000,SJS,SELL,100,58700.0,-5870000.0,100
22/04/2026,500M,500000000,EIB,BUY,100,22650.0,2265000.0,100
22/04/2026,500M,500000000,IMP,BUY,100,50550.0,5055000.0,100
22/04/2026,500M,500000000,VCG,BUY,100,19240.0,1924000.0,100
23/04/2026,100M,100000000,TCH,SELL,100,17100.0,-1710000.0,100
23/04/2026,100M,100000000,VND,SELL,100,15790.0,-1579000.0,100
23/04/2026,100M,100000000,EIB,BUY,100,22400.0,2240000.0,100
23/04/2026,250M,250000000,NT2,SELL,100,24600.0,-2460000.0,100
23/04/2026,250M,250000000,HDG,SELL,100,24240.0,-2424000.0,100
23/04/2026,250M,250000000,DXG,BUY,100,12740.0,1274000.0,100
23/04/2026,500M,500000000,VCG,SELL,100,20180.0,-2018000.0,100
23/04/2026,500M,500000000,VIC,SELL,100,214500.0,-21450000.0,100
23/04/2026,500M,500000000,BSI,BUY,100,31790.0,3179000.0,100
23/04/2026,500M,500000000,DXG,BUY,100,12740.0,1274000.0,100
23/04/2026,500M,500000000,GAS,BUY,100,77400.0,7740000.0,100
23/04/2026,500M,500000000,IMP,BUY,100,49080.0,4908000.0,100
23/04/2026,500M,500000000,VCB,BUY,100,62800.0,6280000.0,100
24/04/2026,250M,250000000,TCH,SELL,100,17500.0,-1750000.0,100
24/04/2026,250M,250000000,IMP,BUY,100,47650.0,4765000.0,100
24/04/2026,500M,500000000,TCH,SELL,100,17500.0,-1750000.0,100
24/04/2026,500M,500000000,HDG,BUY,100,24190.0,2419000.0,100
28/04/2026,50M,50000000,MBB,SELL,100,25000.0,-2500000.0,100
28/04/2026,50M,50000000,DBC,BUY,100,19840.0,1984000.0,100
28/04/2026,100M,100000000,EIB,SELL,100,21850.0,-2185000.0,100
28/04/2026,100M,100000000,SJS,SELL,100,56500.0,-5650000.0,100
28/04/2026,100M,100000000,GAS,BUY,100,73500.0,7350000.0,100
28/04/2026,100M,100000000,VND,BUY,100,15600.0,1560000.0,100
28/04/2026,250M,250000000,VCG,SELL,100,19600.0,-1960000.0,100
28/04/2026,250M,250000000,KDH,BUY,100,25400.0,2540000.0,100
28/04/2026,500M,500000000,GAS,SELL,100,73500.0,-7350000.0,100
28/04/2026,500M,500000000,SJS,BUY,100,56500.0,5650000.0,100
28/04/2026,500M,500000000,VCG,BUY,100,19600.0,1960000.0,100
29/04/2026,100M,100000000,MBB,SELL,100,25050.0,-2505000.0,100
29/04/2026,100M,100000000,CII,BUY,100,19300.0,1930000.0,100
29/04/2026,250M,250000000,IMP,SELL,100,50060.0,-5006000.0,100
29/04/2026,250M,250000000,NT2,BUY,100,24200.0,2420000.0,100
29/04/2026,250M,250000000,VSC,BUY,100,21350.0,2135000.0,100
29/04/2026,500M,500000000,HDC,SELL,100,16610.0,-1661000.0,100
29/04/2026,500M,500000000,HDG,SELL,100,23560.0,-2356000.0,100
29/04/2026,500M,500000000,IMP,SELL,100,50060.0,-5006000.0,100
29/04/2026,500M,500000000,VCG,SELL,100,19690.0,-1969000.0,100
29/04/2026,500M,500000000,GAS,BUY,100,75200.0,7520000.0,100
